encoder,opn,pre_type,use_static,use_cl,gpu,datetime,pre_weight,train_len,test_len,temperature,lr,n_hidden,filter_MRR,filter_H@1,filter_H@3,filter_H@10,filter_inv_MRR,filter_inv_H@1,filter_inv_H@3,filter_inv_H@10,all_MRR,all_H@1,all_H@3,all_H@10,filter_all_MRR,filter_all_H@1,filter_all_H@3,filter_all_H@10
uvrgcn,sub,all,True,True,0,2025-11-01 11:59:35.440619,0.9,7,7,0.05,0.001,200,0.38819247484207153,0.27245938777923584,0.43968111276626587,0.6146129965782166,0.3540920913219452,0.2427288442850113,0.39820367097854614,0.5777575969696045,0.35040125250816345,0.23080028593540192,0.40142296254634857,0.5881420969963074,0.37114226818084717,0.25759411603212357,0.418942391872406,0.5961852967739105
uvrgcn,sub,all,True,True,0,2025-11-01 20:17:25.105192,0.9,7,7,0.05,0.001,200,0.3903549611568451,0.27433645725250244,0.44345545768737793,0.6173377633094788,0.3546964228153229,0.24377839267253876,0.39755779504776,0.5790695548057556,0.351448118686676,0.23198103159666061,0.40263397991657257,0.5903522372245789,0.372525691986084,0.2590574249625206,0.42050662636756897,0.5982036590576172
uvrgcn,sub,all,True,True,0,2025-11-02 01:23:48.055796,0.9,7,7,0.05,0.001,200,0.39120709896087646,0.27558785676956177,0.44428297877311707,0.6174992322921753,0.355324387550354,0.2443031668663025,0.39899083971977234,0.5795337557792664,0.35243499279022217,0.2333434298634529,0.403007373213768,0.5908971726894379,0.37326574325561523,0.25994551181793213,0.4216369092464447,0.5985164940357208
uvrgcn,sub,all,True,True,0,2025-11-02 13:20:35.144258,0.9,7,7,0.05,0.001,200,0.38955819606781006,0.2740135192871094,0.44367748498916626,0.6144717335700989,0.35363972187042236,0.2416389137506485,0.3985467851161957,0.5781007409095764,0.35061532258987427,0.2309819459915161,0.40323948860168457,0.5884044766426086,0.3715989589691162,0.25782621651887894,0.42111213505268097,0.5962862372398376
uvrgcn,sub,all,True,True,0,2025-11-02 18:48:45.113330,0.9,7,7,0.05,0.001,200,0.39201706647872925,0.2752649188041687,0.4471692442893982,0.6169946789741516,0.3556181788444519,0.24287012219429016,0.40115049481391907,0.580018162727356,0.3525978922843933,0.23224342614412308,0.4051569402217865,0.5906347930431366,0.3738176226615906,0.25906752049922943,0.42415986955165863,0.5985064208507538
uvrgcn,sub,all,True,True,0,2025-11-02 22:41:09.608684,0.9,7,7,0.05,0.001,200,0.3883364498615265,0.27371078729629517,0.44016551971435547,0.6118074655532837,0.35277196764945984,0.2434554547071457,0.3940458297729492,0.5733777284622192,0.34956878423690796,0.23135533928871155,0.399909183382988,0.5849833488464355,0.37055420875549316,0.25858312100172043,0.41710567474365234,0.5925925970077515
uvrgcn,sub,all,True,True,0,2025-11-03 04:27:47.097217,0.9,10,10,0.05,0.001,200,0.38347336649894714,0.26670703291893005,0.4373599886894226,0.6118276715278625,0.3476541042327881,0.23560400307178497,0.3930164575576782,0.5726713538169861,0.3453834056854248,0.22584520280361176,0.39626602828502655,0.584630161523819,0.3655637502670288,0.2511555179953575,0.4151882231235504,0.5922495126724243
uvrgcn,sub,all,True,True,0,2025-11-03 17:38:40.724766,0.9,9,9,0.05,0.001,200,0.3888790011405945,0.2741144597530365,0.4420829713344574,0.6132404804229736,0.35217443108558655,0.2404884546995163,0.3959228992462158,0.5759208798408508,0.34939050674438477,0.23017460107803345,0.40077707171440125,0.5874558687210083,0.3705267310142517,0.2573014572262764,0.4190029352903366,0.5945806801319122
uvrgcn,sub,all,True,True,0,2025-11-04 00:23:44.768618,0.9,8,8,0.05,0.001,200,0.3858877122402191,0.2699364423751831,0.43945908546447754,0.61140376329422,0.35309961438179016,0.2419416755437851,0.3975779712200165,0.5763447284698486,0.348955899477005,0.22974064946174622,0.4002220332622528,0.5860329270362854,0.36949366331100464,0.2559390589594841,0.418518528342247,0.5938742458820343
uvrgcn,sub,all,True,True,0,2025-11-04 04:14:51.144449,0.9,6,6,0.05,0.001,200,0.38779258728027344,0.27233827114105225,0.4394187331199646,0.6129781007766724,0.35150790214538574,0.24083156883716583,0.393258661031723,0.5776566863059998,0.34906286001205444,0.23017459362745285,0.3989101052284241,0.587546706199646,0.3696502447128296,0.25658491998910904,0.4163386970758438,0.5953173935413361
